part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class
body12,1368,686,-0.215999976,-0.027099997,-6.25E-15,-0.252250075,-0.027099997,-6.62E-11,90,1,0,0,1.05E-06,0.000618645,1,1.002,5.50E-07,0.00032507,0.997154642,2.38E-07,9.93E-08,-0.490169646,-1.100291246,0.418047875,5.38E-07,1.29E-06,1.42E-05,0.005274197,4073.566681,1.994169096,1.905167685,0.998921233,ball bearing
body12.001,1368,686,-0.215999976,-1.191100001,1.07E-16,-0.252250075,-1.191100001,-6.62E-11,90,1,0,0,1.05E-06,0.00061886,1.001,1.002,5.50E-07,0.00032507,0.997154642,2.38E-07,9.93E-08,-0.490169646,-1.100291246,0.418047875,5.39E-07,1.29E-06,1.42E-05,0.005274197,4073.566681,1.994169096,1.906157604,0.99874849,ball bearing
body12.002,1368,686,0,-0.033999998,3.75E-17,0.026749786,-0.030166704,-2.86E-09,180,0,-0.7071,0.7071,4.45E-07,0.000349572,1.002,1.001,2.33E-07,0.000183606,0.997153134,1.34E-07,5.61E-08,-0.490169793,-1.100290797,0.41804788,2.29E-07,5.50E-07,8.03E-06,0.005274197,9596.46048,1.994169096,1.906392847,0.998706646,ball bearing
body12.003,1368,686,-3.22E-29,-1.192000031,3.75E-17,-0.034999788,-1.192000031,7.58E-11,90,1,0,0,1.25E-06,0.000694881,1,1.002,6.54E-07,0.000365108,0.997153509,2.67E-07,1.12E-07,-0.490169921,-1.100290843,0.418047867,6.41E-07,1.54E-06,1.60E-05,0.005274197,3422.222806,1.994169096,1.905328772,0.998892555,ball bearing
body12.004,1368,686,0.324000001,-1.197000027,0,0.2827501,-1.197000027,-1.86E-11,90,-1,0,0,1.23E-06,0.000689445,1,1.001,6.46E-07,0.000362249,0.997154513,2.65E-07,1.11E-07,-0.490169845,-1.100290763,0.41804787,6.33E-07,1.52E-06,1.58E-05,0.005274197,3462.824191,1.994169096,1.905356825,0.998887952,ball bearing
body12.005,144,74,0.324000001,-0.053179681,0,0.341237396,-0.041679695,0.069934785,180,0,-0.7071,0.7071,6.71E-06,0.002139439,1,1.139,5.23E-06,0.001672549,0.813224763,1.16E-05,4.86E-06,-1.253498981,0.034962223,0.418691991,3.45E-06,1.23E-05,7.31E-05,0.000555179,45.05059889,1.945945946,1.283610479,0.996524218,roller bearing
body12.006,144,74,0.643999994,-1.20449996,-7.11E-17,0.609927237,-1.215249896,0.059015751,90,-1,0,0,5.51E-06,0.001875289,1.001,1.142,4.30E-06,0.001467298,0.813119799,1.02E-05,4.26E-06,-1.254110104,0.040228696,0.418406896,2.83E-06,1.01E-05,6.42E-05,0.000555179,54.83369625,1.945945946,1.281932176,0.996976236,roller bearing
body12.007,144,74,0.643999994,-0.069499999,-7.11E-17,0.609927237,-0.080249995,0.059015751,90,-1,0,0,5.56E-06,0.001886861,1.002,1.139,4.30E-06,0.001467298,0.813119799,1.02E-05,4.26E-06,-1.254110104,0.040228696,0.418406896,2.86E-06,1.01E-05,6.42E-05,0.000555179,54.83369625,1.945945946,1.293940671,0.993818634,roller bearing
body13,1368,686,-0.215999976,-0.027099997,-6.25E-15,-0.247393459,-0.027100001,0.01812502,90,1,0,0,1.05E-06,0.000618861,1,1.003,5.50E-07,0.00032507,0.997152369,2.38E-07,9.93E-08,-0.490169979,-1.100290273,0.418047862,5.39E-07,1.29E-06,1.42E-05,0.005274197,4073.57595,1.994169096,1.906168557,0.99874534,ball bearing
body13.001,1368,686,-0.215999976,-1.191100001,1.07E-16,-0.247393459,-1.191100001,0.01812502,90,1,0,0,1.05E-06,0.000618954,1.001,1.001,5.50E-07,0.00032507,0.997152369,2.38E-07,9.93E-08,-0.490169979,-1.100290273,0.418047862,5.39E-07,1.29E-06,1.42E-05,0.005274197,4073.57595,1.994169096,1.906599444,0.998669398,ball bearing
body13.002,1368,686,0,-0.033999998,3.75E-17,0.023166034,-0.030166699,-0.01337491,180,0,-0.7071,0.7071,4.45E-07,0.000349509,1.001,1.001,2.33E-07,0.000183606,0.997151299,1.34E-07,5.61E-08,-0.490169697,-1.100290574,0.418047868,2.29E-07,5.50E-07,8.03E-06,0.005274197,9596.478019,1.994169096,1.905878097,0.998794803,ball bearing
body13.003,1368,686,-3.22E-29,-1.192000031,3.75E-17,-0.030310739,-1.192000031,0.017499905,90,1,0,0,1.25E-06,0.000695153,1,1.003,6.54E-07,0.000365108,0.997153723,2.67E-07,1.12E-07,-0.490170164,-1.100290299,0.418047841,6.41E-07,1.54E-06,1.60E-05,0.005274197,3422.221914,1.994169096,1.906444887,0.998697971,ball bearing
body13.004,1368,686,0.324000001,-1.197000027,0,0.288276553,-1.197000027,-0.020624943,90,-1,0,0,1.23E-06,0.000689508,1,1.001,6.46E-07,0.000362249,0.99715347,2.65E-07,1.11E-07,-0.490170311,-1.100290258,0.418047846,6.33E-07,1.52E-06,1.58E-05,0.005274197,3462.82754,1.994169096,1.905618408,0.998841577,ball bearing
body13.005,144,74,0.324000001,-0.053179681,0,0.371763259,-0.04167971,0.053913556,180,0,-0.7071,0.7071,6.72E-06,0.002140528,1.002,1.137,5.23E-06,0.001672549,0.813224124,1.16E-05,4.86E-06,-1.253499156,0.034962887,0.418691999,3.45E-06,1.23E-05,7.31E-05,0.000555179,45.05063414,1.945945946,1.284600781,0.996262527,roller bearing
body13.006,144,74,0.643999994,-1.20449996,-7.11E-17,0.584984243,-1.215250015,0.034072764,90,-1,0,0,5.57E-06,0.001889293,1.006,1.135,4.30E-06,0.001467298,0.813119131,1.02E-05,4.26E-06,-1.254110124,0.040229117,0.418406858,2.86E-06,1.01E-05,6.42E-05,0.000555179,54.83374267,1.945945946,1.296544504,0.993101622,roller bearing
body13.007,144,74,0.643999994,-0.069499999,-7.11E-17,0.584984243,-0.080249995,0.034072764,90,-1,0,0,5.49E-06,0.001871169,1,1.143,4.30E-06,0.001467298,0.813119131,1.02E-05,4.26E-06,-1.254110124,0.040229117,0.418406858,2.82E-06,1.01E-05,6.42E-05,0.000555179,54.83374267,1.945945946,1.277662448,0.998110508,roller bearing
body14,1368,686,-0.215999976,-0.027099997,-6.25E-15,-0.234125003,-0.027100002,0.031393498,90,1,0,0,1.05E-06,0.000618945,1.002,1,5.50E-07,0.00032507,0.997154848,2.38E-07,9.93E-08,-0.490169977,-1.100290279,0.418047862,5.39E-07,1.29E-06,1.42E-05,0.005274197,4073.565838,1.994169096,1.906549942,0.998680186,ball bearing
body14.001,1368,686,-0.215999976,-1.191100001,1.07E-16,-0.234125003,-1.191100001,0.031393498,90,1,0,0,1.05E-06,0.000618758,1,1.001,5.50E-07,0.00032507,0.997154848,2.38E-07,9.93E-08,-0.490169977,-1.100290279,0.418047862,5.38E-07,1.29E-06,1.42E-05,0.005274197,4073.565838,1.994169096,1.905688463,0.998830176,ball bearing
body14.002,1368,686,0,-0.033999998,3.75E-17,0.0133749,-0.030166693,-0.023166042,180,0,-0.7071,0.7071,4.45E-07,0.000349567,1,1.001,2.33E-07,0.000183606,0.997154577,1.34E-07,5.61E-08,-0.490169701,-1.100290577,0.418047867,2.29E-07,5.50E-07,8.03E-06,0.005274197,9596.44645,1.994169096,1.906345991,0.99871512,ball bearing
body14.003,1368,686,-3.22E-29,-1.192000031,3.75E-17,-0.017499899,-1.192000031,0.030310711,90,1,0,0,1.25E-06,0.00069482,1,1.002,6.54E-07,0.000365108,0.997152338,2.67E-07,1.12E-07,-0.490170169,-1.100290296,0.41804784,6.41E-07,1.54E-06,1.60E-05,0.005274197,3422.226672,1.994169096,1.905079237,0.998935283,ball bearing
body14.004,1368,686,0.324000001,-1.197000027,0,0.303375036,-1.197000027,-0.035723466,90,-1,0,0,1.23E-06,0.000689715,1.002,1.002,6.46E-07,0.000362249,0.997153206,2.65E-07,1.11E-07,-0.49017032,-1.100290253,0.418047846,6.34E-07,1.52E-06,1.58E-05,0.005274197,3462.828454,1.994169096,1.906475425,0.998692697,ball bearing
body14.005,144,74,0.324000001,-0.053179681,0,0.39134714,-0.041679714,0.025541384,180,0,-0.7071,0.7071,6.69E-06,0.002133408,1.001,1.139,5.23E-06,0.001672549,0.813223928,1.16E-05,4.86E-06,-1.253498772,0.034961495,0.418692056,3.44E-06,1.23E-05,7.31E-05,0.000555179,45.05064589,1.945945946,1.278129228,0.997976376,roller bearing
body14.006,144,74,0.643999994,-1.20449996,-7.11E-17,0.575854421,-1.215250015,1.38E-09,90,-1,0,0,5.52E-06,0.001878801,1,1.142,4.30E-06,0.001467298,0.813119642,1.02E-05,4.26E-06,-1.254110039,0.040229222,0.418406912,2.84E-06,1.01E-05,6.42E-05,0.000555179,54.83370785,1.945945946,1.285564263,0.996021327,roller bearing
body14.007,144,74,0.643999994,-0.069499999,-7.11E-17,0.575854421,-0.080250002,1.38E-09,90,-1,0,0,5.49E-06,0.001871199,1,1.143,4.30E-06,0.001467298,0.813119642,1.02E-05,4.26E-06,-1.254110039,0.040229222,0.418406912,2.82E-06,1.01E-05,6.42E-05,0.000555179,54.83370785,1.945945946,1.277694633,0.998101444,roller bearing
body15,324,162,-0.215999976,-0.027099997,-6.25E-15,-0.215999976,-0.033925299,-8.70E-10,90,1,0,0,2.14E-05,0.013479617,1.003,22.789,4.96E-06,0.00444644,0.177957224,1.37E-05,4.08E-06,0.021915598,-1.915077073,0.297192538,1.10E-05,1.17E-05,0.000194459,0.001249152,106.8630921,2,4.308219997,0.703667099,bearing ring
body15.001,324,162,-0.215999976,-1.191100001,1.07E-16,-0.215999976,-1.197925329,-8.70E-10,90,1,0,0,2.14E-05,0.013479617,1.003,22.789,4.96E-06,0.00444644,0.177957224,1.37E-05,4.08E-06,0.021915598,-1.915077073,0.297192538,1.10E-05,1.17E-05,0.000194459,0.001249152,106.8630921,2,4.308219997,0.703667099,bearing ring
